,Value
Total_Records,39196.0
Active_Policies,0.0
Expired_Policies,37362.0
Flagged_Policies,1834.0
RPA_Coverage_Pct,99.82141034799469
Total_Capital,299542211932.07
Total_Premium,146426436.82599998
Unique_Wilayas,51.0
Unique_Communes,789.0
Policy_Duplicates,3609.0
